osm_id,place,plz,landkreis,bundesland,nuts3,nuts2,nuts1
445965,Eilenburg,4838,Landkreis Nordsachsen,Sachsen,DEB33,DEB3,DEB
1113745,Eilscheid,54649,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,DEB23,DEB2,DEB
1286659,Eilsleben,39365,Landkreis Börde,Sachsen-Anhalt,DEB33,DEB3,DEB
1168893,Eime,31036,Landkreis Hildesheim,Niedersachsen,DEB33,DEB3,DEB
1130291,Eimeldingen,79591,Landkreis Lörrach,Baden-Württemberg,DEB33,DEB3,DEB
2014130,Eimen,37632,Landkreis Holzminden,Niedersachsen,DEB33,DEB3,DEB
1460254,Eimke,29578,Landkreis Uelzen,Niedersachsen,DEB33,DEB3,DEB
1245839,Eimsheim,55278,Landkreis Mainz-Bingen,Rheinland-Pfalz,DEB33,DEB3,DEB
156752,Einbeck,37574,Landkreis Northeim,Niedersachsen,DEB33,DEB3,DEB
2778364,Eineborn,7646,Saale-Holzland-Kreis,Thüringen,DEG0J,DEG0,DEG
1469264,Einhaus,23911,Kreis Herzogtum Lauenburg,Schleswig-Holstein,DEA14,DEA1,DEA
537053,Einhausen,64683,Kreis Bergstraße,Hessen,DEA14,DEA1,DEA
2828157,Einhausen,98617,Landkreis Schmalkalden-Meiningen,Thüringen,DEB33,DEB3,DEB
543118,Einig,56751,Landkreis Mayen-Koblenz,Rheinland-Pfalz,DEB33,DEB3,DEB
1246680,Einöllen,67753,Landkreis Kusel,Rheinland-Pfalz,DEB33,DEB3,DEB
1254387,Einselthum,67308,Donnersbergkreis,Rheinland-Pfalz,DEB3D,DEB3,DEB
2186919,Eiselfing,83549,Landkreis Rosenheim,Bayern,DEB33,DEB3,DEB
62370,Eisenach,99817,,Thüringen,#NV,#NV,#NV
1163511,Eisenach,54298,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,DEB23,DEB2,DEB
319152,Eisenbach,79871,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg,DEB33,DEB3,DEB
448305,Eisenberg,87637,Landkreis Ostallgäu,Bayern,DEB33,DEB3,DEB
2778365,Eisenberg,7607,Saale-Holzland-Kreis,Thüringen,DEG0J,DEG0,DEG
1254494,Eisenberg (Pfalz),67304,Donnersbergkreis,Rheinland-Pfalz,DEB3D,DEB3,DEB
548552,Eisendorf,24589,Kreis Rendsburg-Eckernförde,Schleswig-Holstein,DEA14,DEA1,DEA
182343,Eisenheim,97247,Landkreis Würzburg,Bayern,DEB33,DEB3,DEB
1384824,Eisenhüttenstadt,15890,Landkreis Oder-Spree,Brandenburg,DEB33,DEB3,DEB
1258866,Eisenschmitt,54533,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz,DEB33,DEB3,DEB
1266455,Eisfeld,98673,Landkreis Hildburghausen,Thüringen,DEB33,DEB3,DEB
539716,Eisighofen,56370,Rhein-Lahn-Kreis,Rheinland-Pfalz,DEB1A,DEB1,DEB
57786,Eisingen,75239,Enzkreis,Baden-Württemberg,DE12B,DE12,DE1
180683,Eisingen,97249,Landkreis Würzburg,Bayern,DEB33,DEB3,DEB
2792100,Eislingen/Fils,73054,Landkreis Göppingen,Baden-Württemberg,DEB33,DEB3,DEB
453831,Eitelborn,56337,Westerwaldkreis,Rheinland-Pfalz,DEB1B,DEB1,DEB
943547,Eitensheim,85117,Landkreis Eichstätt,Bayern,DEB33,DEB3,DEB
454873,Eiterfeld,36132,Landkreis Fulda,Hessen,DEB33,DEB3,DEB
173114,Eitorf,53783,Rhein-Sieg-Kreis,Nordrhein-Westfalen,DEA2C,DEA2,DEA
934754,Eitting,85462,Landkreis Erding,Bayern,DEB33,DEB3,DEB
372349,Eixen,18334,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern,DEB33,DEB3,DEB
1432666,Elbe,38274,Landkreis Wolfenbüttel,Niedersachsen,DEB33,DEB3,DEB
421921,Elben,57580,Landkreis Altenkirchen,Rheinland-Pfalz,DEB33,DEB3,DEB
1283582,Elbe-Parey,39307,Landkreis Jerichower Land,Sachsen-Anhalt,DEB33,DEB3,DEB
